Age,Attrition,Department,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,YearsAtCompany,AgeGroup,SalaryLevel,YearsGroup,,,,,,,,
38.00,No,Research & Development,3.00,Married,3057.00,Yes,1.00,30-39,Medium,0-2,,,,,,,,
34.00,No,Research & Development,1.00,Divorced,5121.00,No,0.00,30-39,Medium,0-2,,,,,,,,
52.00,No,Sales,1.00,Married,16856.00,No,34.00,50+,High,6+,,,,,,,,
33.00,Yes,Research & Development,4.00,Single,2686.00,Yes,10.00,30-39,Low,6+,,,,,,,,
25.00,No,Sales,4.00,Single,6180.00,No,6.00,20-29,Medium,6+,,,,,,,,
45.00,No,Sales,3.00,Single,6632.00,No,8.00,40-49,Medium,6+,,,,,,,,
23.00,No,Research & Development,3.00,Single,3505.00,No,2.00,20-29,Medium,0-2,,,,,,,,
47.00,Yes,Sales,3.00,Single,6397.00,Yes,5.00,40-49,Medium,3-5,,,,,,,,
34.00,No,Sales,4.00,Single,6274.00,No,6.00,30-39,Medium,6+,,,,,,,,
55.00,Yes,Research & Development,1.00,Married,19859.00,Yes,5.00,50+,High,3-5,,,,,,,,
36.00,No,Sales,1.00,Single,7587.00,No,10.00,30-39,High,6+,,,,,,,,
52.00,No,Research & Development,4.00,Married,4258.00,No,4.00,50+,Medium,3-5,,,,,,,,
26.00,No,Research & Development,4.00,Divorced,4364.00,No,2.00,20-29,Medium,0-2,,,,,,,,
29.00,No,Research & Development,3.00,Married,4335.00,No,8.00,20-29,Medium,6+,,,,,,,,
26.00,Yes,Sales,1.00,Single,5326.00,No,4.00,20-29,Medium,3-5,,,,,,,,
34.00,No,Research & Development,4.00,Single,3280.00,No,4.00,30-39,Medium,3-5,,,,,,,,
54.00,No,Research & Development,1.00,Divorced,5485.00,Yes,5.00,50+,Medium,3-5,,,,,,,,
27.00,No,Sales,4.00,Married,4342.00,No,4.00,20-29,Medium,3-5,,,,,,,,
37.00,No,Research & Development,1.00,Divorced,2782.00,Yes,5.00,30-39,Low,3-5,,,,,,,,
38.00,No,Research & Development,1.00,Single,5980.00,Yes,15.00,30-39,Medium,6+,,,,,,,,
34.00,No,Research & Development,1.00,Single,4381.00,No,6.00,30-39,Medium,6+,,,,,,,,
35.00,No,Sales,4.00,Married,2572.00,No,3.00,30-39,Low,3-5,,,,,,,,
30.00,No,Research & Development,3.00,Married,3833.00,No,2.00,30-39,Medium,0-2,,,,,,,,
40.00,No,Research & Development,2.00,Married,4244.00,No,8.00,40-49,Medium,6+,,,,,,,,
34.00,No,Sales,1.00,Married,6500.00,No,3.00,30-39,Medium,3-5,,,,,,,,
42.00,No,Research & Development,4.00,Divorced,18430.00,No,24.00,40-49,High,6+,,,,,,,,
23.00,Yes,Research & Development,1.00,Married,1601.00,Yes,0.00,20-29,Low,0-2,,,,,,,,
24.00,No,Research & Development,2.00,Divorced,2694.00,No,1.00,20-29,Low,0-2,,,,,,,,
52.00,No,Research & Development,3.00,Married,3149.00,No,5.00,50+,Medium,3-5,,,,,,,,
50.00,No,Research & Development,3.00,Married,17639.00,No,4.00,50+,High,3-5,,,,,,,,
29.00,Yes,Research & Development,1.00,Married,2319.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
33.00,No,Research & Development,3.00,Married,11691.00,No,13.00,30-39,High,6+,,,,,,,,
33.00,Yes,Sales,1.00,Single,5324.00,No,3.00,30-39,Medium,3-5,,,,,,,,
47.00,No,Research & Development,4.00,Married,16752.00,Yes,26.00,40-49,High,6+,,,,,,,,
36.00,No,Research & Development,2.00,Married,5228.00,No,9.00,30-39,Medium,6+,,,,,,,,
29.00,No,Research & Development,3.00,Married,2700.00,No,10.00,20-29,Low,6+,,,,,,,,
58.00,Yes,Research & Development,2.00,Single,19246.00,Yes,31.00,50+,High,6+,,,,,,,,
35.00,No,Research & Development,3.00,Single,2506.00,No,2.00,30-39,Low,0-2,,,,,,,,
42.00,No,Research & Development,4.00,Married,6062.00,Yes,4.00,40-49,Medium,3-5,,,,,,,,
28.00,Yes,Research & Development,3.00,Single,4382.00,No,2.00,20-29,Medium,0-2,,,,,,,,
36.00,No,Human Resources,2.00,Married,2143.00,No,5.00,30-39,Low,3-5,,,,,,,,
32.00,No,Research & Development,3.00,Married,6162.00,No,14.00,30-39,Medium,6+,,,,,,,,
40.00,No,Research & Development,3.00,Single,5094.00,No,1.00,40-49,Medium,0-2,,,,,,,,
30.00,No,Research & Development,4.00,Single,6877.00,Yes,0.00,30-39,Medium,0-2,,,,,,,,
45.00,No,Research & Development,3.00,Single,2274.00,No,1.00,40-49,Low,0-2,,,,,,,,
42.00,No,Research & Development,2.00,Married,4434.00,No,9.00,40-49,Medium,6+,,,,,,,,
38.00,No,Research & Development,1.00,Divorced,6288.00,No,4.00,30-39,Medium,3-5,,,,,,,,
34.00,No,Research & Development,4.00,Single,2553.00,No,5.00,30-39,Low,3-5,,,,,,,,
49.00,Yes,Sales,4.00,Married,7654.00,No,9.00,40-49,High,6+,,,,,,,,
55.00,Yes,Sales,4.00,Single,5160.00,No,9.00,50+,Medium,6+,,,,,,,,
43.00,No,Research & Development,1.00,Married,17159.00,No,4.00,40-49,High,3-5,,,,,,,,
27.00,No,Research & Development,4.00,Divorced,12808.00,Yes,9.00,20-29,High,6+,,,,,,,,
35.00,No,Research & Development,3.00,Single,10221.00,No,8.00,30-39,High,6+,,,,,,,,
28.00,No,Sales,2.00,Married,4779.00,Yes,8.00,20-29,Medium,6+,,,,,,,,
34.00,No,Human Resources,4.00,Married,3737.00,No,3.00,30-39,Medium,3-5,,,,,,,,
26.00,Yes,Research & Development,3.00,Married,2366.00,Yes,8.00,20-29,Low,6+,,,,,,,,
27.00,No,Research & Development,4.00,Married,1706.00,No,0.00,20-29,Low,0-2,,,,,,,,
51.00,No,Sales,3.00,Married,16307.00,No,20.00,50+,High,6+,,,,,,,,
44.00,No,Research & Development,2.00,Single,5933.00,No,5.00,40-49,Medium,3-5,,,,,,,,
25.00,No,Research & Development,1.00,Single,3424.00,No,4.00,20-29,Medium,3-5,,,,,,,,
33.00,No,Sales,1.00,Divorced,4037.00,No,9.00,30-39,Medium,6+,,,,,,,,
35.00,No,Research & Development,1.00,Single,2559.00,No,6.00,30-39,Low,6+,,,,,,,,
36.00,No,Sales,4.00,Married,6201.00,Yes,18.00,30-39,Medium,6+,,,,,,,,
32.00,No,Sales,4.00,Divorced,4403.00,No,5.00,30-39,Medium,3-5,,,,,,,,
30.00,No,Research & Development,4.00,Divorced,3761.00,No,5.00,30-39,Medium,3-5,,,,,,,,
53.00,No,Sales,4.00,Married,10934.00,Yes,5.00,50+,High,3-5,,,,,,,,
45.00,No,Sales,1.00,Divorced,10761.00,Yes,5.00,40-49,High,3-5,,,,,,,,
32.00,No,Research & Development,3.00,Married,5175.00,No,5.00,30-39,Medium,3-5,,,,,,,,
52.00,No,Research & Development,4.00,Married,13826.00,No,9.00,50+,High,6+,,,,,,,,
37.00,No,Sales,3.00,Divorced,6334.00,No,1.00,30-39,Medium,0-2,,,,,,,,
28.00,No,Human Resources,4.00,Divorced,4936.00,No,5.00,20-29,Medium,3-5,,,,,,,,
22.00,No,Research & Development,4.00,Married,4775.00,No,2.00,20-29,Medium,0-2,,,,,,,,
44.00,No,Research & Development,4.00,Married,2818.00,Yes,3.00,40-49,Low,3-5,,,,,,,,
42.00,No,Research & Development,4.00,Single,2515.00,Yes,2.00,40-49,Low,0-2,,,,,,,,
36.00,No,Human Resources,1.00,Married,2342.00,No,5.00,30-39,Low,3-5,,,,,,,,
25.00,No,Sales,1.00,Married,4194.00,Yes,5.00,20-29,Medium,3-5,,,,,,,,
35.00,No,Research & Development,3.00,Married,10685.00,Yes,17.00,30-39,High,6+,,,,,,,,
35.00,Yes,Research & Development,2.00,Divorced,2022.00,Yes,10.00,30-39,Low,6+,,,,,,,,
32.00,No,Research & Development,4.00,Divorced,2314.00,No,3.00,30-39,Low,3-5,,,,,,,,
25.00,No,Sales,1.00,Married,4256.00,No,5.00,20-29,Medium,3-5,,,,,,,,
49.00,No,Research & Development,1.00,Married,3580.00,No,4.00,40-49,Medium,3-5,,,,,,,,
24.00,No,Research & Development,4.00,Married,3162.00,No,5.00,20-29,Medium,3-5,,,,,,,,
32.00,No,Sales,2.00,Married,6524.00,No,10.00,30-39,Medium,6+,,,,,,,,
38.00,No,Sales,2.00,Married,2899.00,No,2.00,30-39,Low,0-2,,,,,,,,
42.00,No,Research & Development,4.00,Married,5231.00,Yes,5.00,40-49,Medium,3-5,,,,,,,,
31.00,No,Research & Development,4.00,Married,2356.00,Yes,6.00,30-39,Low,6+,,,,,,,,
29.00,Yes,Sales,3.00,Divorced,2800.00,Yes,3.00,20-29,Low,3-5,,,,,,,,
53.00,No,Sales,4.00,Married,11836.00,No,2.00,50+,High,0-2,,,,,,,,
35.00,No,Research & Development,2.00,Married,10903.00,No,13.00,30-39,High,6+,,,,,,,,
37.00,No,Sales,4.00,Married,2973.00,No,5.00,30-39,Low,3-5,,,,,,,,
53.00,No,Research & Development,4.00,Single,14275.00,No,12.00,50+,High,6+,,,,,,,,
43.00,No,Research & Development,4.00,Married,5562.00,No,5.00,40-49,Medium,3-5,,,,,,,,
47.00,No,Sales,4.00,Married,4537.00,Yes,7.00,40-49,Medium,6+,,,,,,,,
37.00,No,Sales,2.00,Single,7642.00,Yes,10.00,30-39,High,6+,,,,,,,,
50.00,No,Research & Development,1.00,Divorced,17924.00,No,31.00,50+,High,6+,,,,,,,,
39.00,No,Human Resources,4.00,Married,5204.00,No,5.00,30-39,Medium,3-5,,,,,,,,
33.00,No,Human Resources,2.00,Divorced,2277.00,Yes,4.00,30-39,Low,3-5,,,,,,,,
32.00,Yes,Research & Development,4.00,Single,2795.00,Yes,1.00,30-39,Low,0-2,,,,,,,,
29.00,No,Research & Development,4.00,Divorced,2532.00,No,4.00,20-29,Low,3-5,,,,,,,,
44.00,No,Research & Development,1.00,Married,2559.00,Yes,8.00,40-49,Low,6+,,,,,,,,
28.00,No,Sales,4.00,Single,4908.00,No,4.00,20-29,Medium,3-5,,,,,,,,
58.00,Yes,Research & Development,4.00,Divorced,2380.00,Yes,1.00,50+,Low,0-2,,,,,,,,
43.00,No,Research & Development,2.00,Divorced,4765.00,No,1.00,40-49,Medium,0-2,,,,,,,,
20.00,Yes,Sales,3.00,Single,2044.00,No,2.00,20-29,Low,0-2,,,,,,,,
21.00,Yes,Research & Development,4.00,Single,2693.00,No,1.00,20-29,Low,0-2,,,,,,,,
36.00,No,Research & Development,4.00,Married,6586.00,Yes,16.00,30-39,Medium,6+,,,,,,,,
47.00,No,Sales,4.00,Single,3294.00,Yes,3.00,40-49,Medium,3-5,,,,,,,,
22.00,Yes,Research & Development,3.00,Married,4171.00,Yes,3.00,20-29,Medium,3-5,,,,,,,,
41.00,Yes,Research & Development,4.00,Divorced,2778.00,Yes,7.00,40-49,Low,6+,,,,,,,,
28.00,No,Research & Development,3.00,Divorced,2377.00,No,2.00,20-29,Low,0-2,,,,,,,,
39.00,Yes,Research & Development,1.00,Married,2404.00,Yes,2.00,30-39,Low,0-2,,,,,,,,
27.00,No,Research & Development,3.00,Single,2318.00,No,1.00,20-29,Low,0-2,,,,,,,,
34.00,No,Research & Development,2.00,Divorced,2008.00,No,1.00,30-39,Low,0-2,,,,,,,,
42.00,No,Sales,3.00,Single,6244.00,No,5.00,40-49,Medium,3-5,,,,,,,,
33.00,No,Research & Development,1.00,Single,2799.00,Yes,3.00,30-39,Low,3-5,,,,,,,,
58.00,No,Research & Development,2.00,Divorced,10552.00,Yes,6.00,50+,High,6+,,,,,,,,
31.00,No,Sales,3.00,Married,2329.00,No,7.00,30-39,Low,6+,,,,,,,,
35.00,No,Research & Development,4.00,Married,4014.00,Yes,10.00,30-39,Medium,6+,,,,,,,,
49.00,No,Research & Development,2.00,Married,7403.00,No,26.00,40-49,High,6+,,,,,,,,
48.00,No,Research & Development,3.00,Married,2259.00,No,0.00,40-49,Low,0-2,,,,,,,,
31.00,No,Sales,3.00,Married,6932.00,No,9.00,30-39,Medium,6+,,,,,,,,
36.00,No,Research & Development,4.00,Single,4678.00,No,6.00,30-39,Medium,6+,,,,,,,,
38.00,No,Research & Development,1.00,Married,13582.00,No,15.00,30-39,High,6+,,,,,,,,
32.00,No,Research & Development,2.00,Married,2332.00,No,3.00,30-39,Low,3-5,,,,,,,,
25.00,Yes,Sales,2.00,Married,2413.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
40.00,No,Sales,2.00,Divorced,9705.00,No,1.00,40-49,High,0-2,,,,,,,,
26.00,No,Sales,1.00,Single,4294.00,No,7.00,20-29,Medium,6+,,,,,,,,
41.00,No,Research & Development,1.00,Single,4721.00,Yes,18.00,40-49,Medium,6+,,,,,,,,
36.00,No,Research & Development,3.00,Single,2519.00,No,11.00,30-39,Low,6+,,,,,,,,
19.00,Yes,Sales,2.00,Single,2121.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
20.00,Yes,Research & Development,1.00,Single,2973.00,No,1.00,20-29,Low,0-2,,,,,,,,
31.00,No,Research & Development,4.00,Married,5855.00,Yes,9.00,30-39,Medium,6+,,,,,,,,
40.00,No,Research & Development,2.00,Divorced,3617.00,Yes,1.00,40-49,Medium,0-2,,,,,,,,
32.00,No,Research & Development,1.00,Married,6725.00,No,8.00,30-39,Medium,6+,,,,,,,,
36.00,Yes,Sales,4.00,Married,10325.00,Yes,16.00,30-39,High,6+,,,,,,,,
33.00,No,Research & Development,4.00,Single,6949.00,No,5.00,30-39,Medium,3-5,,,,,,,,
37.00,Yes,Sales,3.00,Married,10609.00,No,14.00,30-39,High,6+,,,,,,,,
45.00,No,Research & Development,2.00,Married,4447.00,No,9.00,40-49,Medium,6+,,,,,,,,
29.00,No,Sales,4.00,Married,2157.00,No,3.00,20-29,Low,3-5,,,,,,,,
35.00,No,Sales,3.00,Married,4601.00,No,5.00,30-39,Medium,3-5,,,,,,,,
52.00,No,Research & Development,4.00,Married,17099.00,No,9.00,50+,High,6+,,,,,,,,
58.00,Yes,Research & Development,3.00,Single,2479.00,No,1.00,50+,Low,0-2,,,,,,,,
53.00,No,Sales,3.00,Divorced,14852.00,No,17.00,50+,High,6+,,,,,,,,
30.00,No,Sales,3.00,Divorced,7264.00,No,8.00,30-39,High,6+,,,,,,,,
38.00,No,Sales,4.00,Single,5666.00,Yes,5.00,30-39,Medium,3-5,,,,,,,,
35.00,No,Sales,4.00,Divorced,7823.00,No,10.00,30-39,High,6+,,,,,,,,
39.00,No,Sales,3.00,Single,7880.00,No,8.00,30-39,High,6+,,,,,,,,
40.00,Yes,Sales,2.00,Single,13194.00,Yes,1.00,40-49,High,0-2,,,,,,,,
47.00,No,Research & Development,3.00,Divorced,5067.00,Yes,19.00,40-49,Medium,6+,,,,,,,,
36.00,No,Sales,4.00,Divorced,5079.00,No,7.00,30-39,Medium,6+,,,,,,,,
31.00,Yes,Research & Development,1.00,Single,2321.00,Yes,3.00,30-39,Low,3-5,,,,,,,,
33.00,No,Sales,3.00,Single,17444.00,No,10.00,30-39,High,6+,,,,,,,,
29.00,Yes,Research & Development,1.00,Single,2404.00,Yes,0.00,20-29,Low,0-2,,,,,,,,
33.00,No,Research & Development,4.00,Single,3452.00,No,3.00,30-39,Medium,3-5,,,,,,,,
45.00,No,Research & Development,4.00,Divorced,2270.00,No,5.00,40-49,Low,3-5,,,,,,,,
50.00,No,Research & Development,4.00,Divorced,17399.00,No,5.00,50+,High,3-5,,,,,,,,
33.00,No,Research & Development,2.00,Married,5488.00,Yes,6.00,30-39,Medium,6+,,,,,,,,
41.00,No,Research & Development,3.00,Divorced,19419.00,No,18.00,40-49,High,6+,,,,,,,,
27.00,No,Research & Development,2.00,Married,2811.00,No,2.00,20-29,Low,0-2,,,,,,,,
45.00,No,Research & Development,1.00,Married,3633.00,Yes,9.00,40-49,Medium,6+,,,,,,,,
47.00,No,Sales,4.00,Single,4163.00,Yes,9.00,40-49,Medium,6+,,,,,,,,
30.00,Yes,Research & Development,3.00,Married,2132.00,Yes,5.00,30-39,Low,3-5,,,,,,,,
50.00,No,Research & Development,3.00,Married,13973.00,Yes,12.00,50+,High,6+,,,,,,,,
38.00,No,Research & Development,3.00,Married,2684.00,No,2.00,30-39,Low,0-2,,,,,,,,
46.00,No,Research & Development,3.00,Divorced,10845.00,No,8.00,40-49,High,6+,,,,,,,,
24.00,No,Research & Development,3.00,Divorced,4377.00,No,4.00,20-29,Medium,3-5,,,,,,,,
35.00,Yes,Research & Development,2.00,Divorced,3743.00,Yes,4.00,30-39,Medium,3-5,,,,,,,,
31.00,No,Research & Development,1.00,Married,4148.00,No,4.00,30-39,Medium,3-5,,,,,,,,
18.00,No,Research & Development,4.00,Single,1051.00,No,0.00,20-29,Low,0-2,,,,,,,,
54.00,No,Research & Development,3.00,Married,10739.00,No,10.00,50+,High,6+,,,,,,,,
35.00,No,Research & Development,3.00,Divorced,10388.00,Yes,16.00,30-39,High,6+,,,,,,,,
30.00,No,Research & Development,1.00,Married,11416.00,Yes,8.00,30-39,High,6+,,,,,,,,
20.00,Yes,Research & Development,1.00,Single,2600.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
30.00,Yes,Research & Development,2.00,Single,2422.00,No,3.00,30-39,Low,3-5,,,,,,,,
26.00,No,Research & Development,4.00,Married,5472.00,No,8.00,20-29,Medium,6+,,,,,,,,
22.00,No,Research & Development,1.00,Married,2451.00,No,4.00,20-29,Low,3-5,,,,,,,,
48.00,No,Research & Development,3.00,Single,4240.00,No,2.00,40-49,Medium,0-2,,,,,,,,
48.00,No,Research & Development,3.00,Single,10999.00,No,15.00,40-49,High,6+,,,,,,,,
41.00,No,Research & Development,3.00,Single,5003.00,No,2.00,40-49,Medium,0-2,,,,,,,,
39.00,No,Research & Development,4.00,Married,12742.00,No,21.00,30-39,High,6+,,,,,,,,
27.00,No,Research & Development,4.00,Married,4227.00,No,3.00,20-29,Medium,3-5,,,,,,,,
35.00,No,Research & Development,4.00,Divorced,3917.00,No,3.00,30-39,Medium,3-5,,,,,,,,
42.00,No,Sales,3.00,Married,18303.00,No,1.00,40-49,High,0-2,,,,,,,,
50.00,No,Research & Development,4.00,Married,2380.00,No,1.00,50+,Low,0-2,,,,,,,,
59.00,No,Research & Development,4.00,Single,13726.00,Yes,5.00,50+,High,3-5,,,,,,,,
37.00,Yes,Research & Development,2.00,Married,4777.00,No,1.00,30-39,Medium,0-2,,,,,,,,
55.00,No,Research & Development,2.00,Married,6385.00,Yes,8.00,50+,Medium,6+,,,,,,,,
41.00,No,Research & Development,3.00,Divorced,19973.00,No,21.00,40-49,High,6+,,,,,,,,
38.00,No,Sales,4.00,Single,6861.00,Yes,1.00,30-39,Medium,0-2,,,,,,,,
26.00,Yes,Sales,1.00,Single,4969.00,No,2.00,20-29,Medium,0-2,,,,,,,,
52.00,Yes,Sales,4.00,Married,19845.00,No,32.00,50+,High,6+,,,,,,,,
44.00,No,Sales,4.00,Married,13320.00,Yes,12.00,40-49,High,6+,,,,,,,,
50.00,No,Sales,3.00,Married,6347.00,No,18.00,50+,Medium,6+,,,,,,,,
36.00,Yes,Research & Development,1.00,Single,2743.00,No,17.00,30-39,Low,6+,,,,,,,,
39.00,No,Research & Development,1.00,Single,10880.00,Yes,21.00,30-39,High,6+,,,,,,,,
33.00,No,Sales,4.00,Single,2342.00,No,2.00,30-39,Low,0-2,,,,,,,,
45.00,No,Sales,4.00,Married,17650.00,No,9.00,40-49,High,6+,,,,,,,,
32.00,No,Research & Development,3.00,Single,4025.00,No,8.00,30-39,Medium,6+,,,,,,,,
34.00,No,Sales,4.00,Divorced,9725.00,No,15.00,30-39,High,6+,,,,,,,,
59.00,No,Sales,4.00,Married,11904.00,Yes,6.00,50+,High,6+,,,,,,,,
45.00,No,Human Resources,2.00,Single,2177.00,No,6.00,40-49,Low,6+,,,,,,,,
53.00,No,Sales,2.00,Married,7525.00,No,15.00,50+,High,6+,,,,,,,,
36.00,Yes,Research & Development,3.00,Divorced,4834.00,No,1.00,30-39,Medium,0-2,,,,,,,,
26.00,Yes,Research & Development,1.00,Married,2042.00,Yes,3.00,20-29,Low,3-5,,,,,,,,
34.00,No,Sales,3.00,Married,2220.00,Yes,1.00,30-39,Low,0-2,,,,,,,,
28.00,No,Sales,2.00,Married,1052.00,No,1.00,20-29,Low,0-2,,,,,,,,
38.00,No,Research & Development,3.00,Married,2821.00,No,2.00,30-39,Low,0-2,,,,,,,,
50.00,No,Research & Development,3.00,Married,19237.00,Yes,8.00,50+,High,6+,,,,,,,,
37.00,No,Research & Development,2.00,Single,4107.00,No,4.00,30-39,Medium,3-5,,,,,,,,
40.00,No,Sales,1.00,Married,8396.00,No,7.00,40-49,High,6+,,,,,,,,
26.00,No,Research & Development,3.00,Divorced,2007.00,No,5.00,20-29,Low,3-5,,,,,,,,
46.00,No,Research & Development,4.00,Divorced,19627.00,No,2.00,40-49,High,0-2,,,,,,,,
54.00,No,Sales,3.00,Married,10686.00,No,9.00,50+,High,6+,,,,,,,,
56.00,No,Research & Development,3.00,Married,2942.00,No,5.00,50+,Low,3-5,,,,,,,,
36.00,No,Research & Development,4.00,Single,8858.00,No,14.00,30-39,High,6+,,,,,,,,
55.00,No,Research & Development,1.00,Single,16756.00,No,9.00,50+,High,6+,,,,,,,,
43.00,No,Sales,4.00,Divorced,10798.00,No,1.00,40-49,High,0-2,,,,,,,,
20.00,Yes,Sales,4.00,Single,2323.00,Yes,2.00,20-29,Low,0-2,,,,,,,,
21.00,Yes,Research & Development,1.00,Single,1416.00,No,1.00,20-29,Low,0-2,,,,,,,,
46.00,No,Research & Development,1.00,Divorced,4615.00,Yes,16.00,40-49,Medium,6+,,,,,,,,
51.00,Yes,Research & Development,3.00,Married,2461.00,Yes,10.00,50+,Low,6+,,,,,,,,
28.00,Yes,Research & Development,1.00,Single,8722.00,No,10.00,20-29,High,6+,,,,,,,,
26.00,No,Research & Development,1.00,Married,3955.00,No,5.00,20-29,Medium,3-5,,,,,,,,
30.00,No,Research & Development,1.00,Married,9957.00,No,6.00,30-39,High,6+,,,,,,,,
41.00,No,Research & Development,3.00,Married,3376.00,No,10.00,40-49,Medium,6+,,,,,,,,
38.00,No,Research & Development,3.00,Married,8823.00,No,19.00,30-39,High,6+,,,,,,,,
40.00,No,Research & Development,4.00,Married,10322.00,No,11.00,40-49,High,6+,,,,,,,,
27.00,No,Research & Development,3.00,Married,4621.00,No,3.00,20-29,Medium,3-5,,,,,,,,
55.00,No,Research & Development,2.00,Married,10976.00,No,3.00,50+,High,3-5,,,,,,,,
28.00,No,Research & Development,3.00,Single,3660.00,No,8.00,20-29,Medium,6+,,,,,,,,
44.00,Yes,Human Resources,1.00,Married,10482.00,No,20.00,40-49,High,6+,,,,,,,,
33.00,No,Research & Development,4.00,Divorced,7119.00,No,3.00,30-39,High,3-5,,,,,,,,
35.00,Yes,Sales,1.00,Single,9582.00,Yes,8.00,30-39,High,6+,,,,,,,,
33.00,Yes,Research & Development,3.00,Single,4508.00,No,13.00,30-39,Medium,6+,,,,,,,,
28.00,No,Research & Development,3.00,Divorced,2207.00,No,4.00,20-29,Low,3-5,,,,,,,,
34.00,No,Research & Development,4.00,Single,7756.00,No,6.00,30-39,High,6+,,,,,,,,
37.00,No,Sales,4.00,Divorced,6694.00,Yes,1.00,30-39,Medium,0-2,,,,,,,,
25.00,Yes,Research & Development,4.00,Married,3691.00,Yes,7.00,20-29,Medium,6+,,,,,,,,
26.00,Yes,Research & Development,3.00,Divorced,2377.00,No,1.00,20-29,Low,0-2,,,,,,,,
33.00,Yes,Research & Development,2.00,Single,2313.00,Yes,2.00,30-39,Low,0-2,,,,,,,,
42.00,No,Research & Development,1.00,Married,17665.00,No,22.00,40-49,High,6+,,,,,,,,
28.00,Yes,Research & Development,2.00,Divorced,2596.00,No,1.00,20-29,Low,0-2,,,,,,,,
50.00,Yes,Sales,3.00,Single,4728.00,Yes,0.00,50+,Medium,0-2,,,,,,,,
33.00,No,Sales,2.00,Married,4302.00,No,3.00,30-39,Medium,3-5,,,,,,,,
34.00,No,Research & Development,4.00,Married,2979.00,No,0.00,30-39,Low,0-2,,,,,,,,
48.00,No,Research & Development,4.00,Single,16885.00,No,5.00,40-49,High,3-5,,,,,,,,
45.00,No,Sales,3.00,Married,5593.00,No,15.00,40-49,Medium,6+,,,,,,,,
52.00,No,Research & Development,2.00,Single,10445.00,No,8.00,50+,High,6+,,,,,,,,
38.00,No,Sales,3.00,Divorced,8740.00,Yes,8.00,30-39,High,6+,,,,,,,,
29.00,No,Research & Development,4.00,Divorced,2514.00,No,7.00,20-29,Low,6+,,,,,,,,
28.00,No,Research & Development,2.00,Divorced,7655.00,No,9.00,20-29,High,6+,,,,,,,,
46.00,No,Sales,3.00,Married,17465.00,No,12.00,40-49,High,6+,,,,,,,,
38.00,No,Sales,2.00,Single,7351.00,No,1.00,30-39,High,0-2,,,,,,,,
43.00,No,Research & Development,1.00,Married,10820.00,No,8.00,40-49,High,6+,,,,,,,,
39.00,Yes,Research & Development,4.00,Divorced,12169.00,No,18.00,30-39,High,6+,,,,,,,,
40.00,No,Research & Development,3.00,Single,19626.00,No,20.00,40-49,High,6+,,,,,,,,
21.00,No,Research & Development,2.00,Single,2070.00,Yes,2.00,20-29,Low,0-2,,,,,,,,
39.00,No,Research & Development,2.00,Single,6782.00,No,5.00,30-39,Medium,3-5,,,,,,,,
36.00,No,Research & Development,4.00,Single,7779.00,No,11.00,30-39,High,6+,,,,,,,,
31.00,No,Sales,4.00,Married,2791.00,No,2.00,30-39,Low,0-2,,,,,,,,
28.00,No,Research & Development,2.00,Married,3201.00,No,5.00,20-29,Medium,3-5,,,,,,,,
35.00,No,Sales,4.00,Divorced,4968.00,No,5.00,30-39,Medium,3-5,,,,,,,,
49.00,No,Sales,2.00,Married,13120.00,No,9.00,40-49,High,6+,,,,,,,,
34.00,No,Research & Development,3.00,Single,4033.00,No,3.00,30-39,Medium,3-5,,,,,,,,
29.00,No,Research & Development,2.00,Divorced,3291.00,No,7.00,20-29,Medium,6+,,,,,,,,
42.00,No,Research & Development,4.00,Single,4272.00,No,1.00,40-49,Medium,0-2,,,,,,,,
29.00,No,Research & Development,4.00,Married,5056.00,Yes,10.00,20-29,Medium,6+,,,,,,,,
38.00,No,Human Resources,3.00,Married,2844.00,No,7.00,30-39,Low,6+,,,,,,,,
28.00,No,Research & Development,3.00,Divorced,2703.00,Yes,3.00,20-29,Low,3-5,,,,,,,,
18.00,Yes,Research & Development,3.00,Single,1904.00,No,0.00,20-29,Low,0-2,,,,,,,,
33.00,Yes,Sales,1.00,Single,8224.00,Yes,5.00,30-39,High,3-5,,,,,,,,
41.00,No,Research & Development,4.00,Married,4766.00,Yes,1.00,40-49,Medium,0-2,,,,,,,,
31.00,Yes,Research & Development,3.00,Married,2610.00,No,2.00,30-39,Low,0-2,,,,,,,,
37.00,No,Research & Development,4.00,Divorced,5731.00,No,6.00,30-39,Medium,6+,,,,,,,,
27.00,No,Research & Development,3.00,Married,2539.00,No,4.00,20-29,Low,3-5,,,,,,,,
34.00,No,Sales,3.00,Married,5714.00,No,6.00,30-39,Medium,6+,,,,,,,,
35.00,No,Human Resources,3.00,Single,4323.00,No,5.00,30-39,Medium,3-5,,,,,,,,
29.00,Yes,Sales,1.00,Married,7336.00,No,11.00,20-29,High,6+,,,,,,,,
40.00,No,Research & Development,3.00,Single,13499.00,No,18.00,40-49,High,6+,,,,,,,,
42.00,Yes,Sales,1.00,Single,13758.00,Yes,21.00,40-49,High,6+,,,,,,,,
42.00,No,Sales,1.00,Single,5155.00,No,6.00,40-49,Medium,6+,,,,,,,,
35.00,No,Research & Development,3.00,Married,2258.00,No,8.00,30-39,Low,6+,,,,,,,,
